signed_motif_type,intensity,coherence,intensity_random_mean,intensity_random_std,intensity_z_score
021D++,205883.3972724506,59057.0210346138,207444.87949215865,533.0328014214091,-2.9294298878870992
021D+-,22265.55342777509,5734.642531967429,24539.673626207506,335.86881079576426,-6.770858517777851
021D--,2102.975705893862,387.9550963743308,709.9301617172613,58.76655019158048,23.704735766098846
021U++,208367.94180918948,59445.11848831918,213616.55439351042,555.5459009193638,-9.447666836592804
021U+-,29586.65728401862,7211.697420998978,25037.23047261988,334.57837302891335,13.59749218161686
021U--,1305.046246621072,265.0229604847702,707.3830757047477,53.21645000872127,11.230797447375341
021C++,416151.14165847545,119044.7863286568,418041.2692485467,984.0416692576075,-1.920780033123199
021C+-,21867.90552118771,5646.222659145731,24676.37374896321,245.40155917794888,-11.444378092720216
021C-+,29217.073611696404,7061.13932366428,24648.164554533716,453.7037605707562,10.07024727195347
021C--,2363.037711030344,475.902014446978,1416.1955815076763,73.82081954233236,12.826220778810285
111D+++,217086.11941762076,61621.10439268265,220324.8054407692,762.0965772203618,-4.249705509715173
111D++-,13682.801572364684,3436.2800352106424,13512.087470305953,360.04066263322443,0.47415228271768545
111D+-+,13418.38916328805,3396.9952002643417,13503.779630038573,346.3134862345882,-0.24656985692056088
111D+--,119.83934146957925,39.776605340867455,101.46611831805633,15.31401999767854,1.199764866070968
111D-++,14079.802354370457,3569.82245727494,12433.951692522935,246.91208466016792,6.665735555684741
111D-+-,1258.1393235672183,262.38758844400763,746.2965847226955,41.27053570907793,12.402134599186633
111D--+,1405.4355105608954,294.58760635795716,767.9606869109056,88.2452796730323,7.2238971422830875
111D---,18.017802482212836,4.673017882849911,5.837353397513011,4.929986743357128,2.4706859711361853
111U+++,212623.4424106616,60613.44192765958,214988.0343073549,617.6173410586617,-3.8285710900541083
111U++-,13526.285045557517,3456.2246944652697,13080.761868059995,209.3717108898949,2.1279053201786895
111U+-+,13445.387429530558,3418.2491327723847,13168.491701108785,232.09471700831028,1.1930290012239175
111U+--,99.23035498140982,32.72701440972742,90.25028459468328,21.457723213746366,0.4185006161778467
111U-++,10464.572762544323,2760.7287828657827,12227.822494010845,142.08768402252926,-12.409588794387997
111U-+-,1184.8694900884407,239.3978409559945,777.525071114894,75.05895683874633,5.42699280844882
111U--+,1327.192129849357,267.369929160142,750.1302729892334,63.616601987128725,9.07093178250668
111U---,5.713638255183976,1.9978075520718335,4.662904778804383,3.566378513364358,0.2946219736469809
030T+++,229815.74090393374,66089.76291516155,220845.44474075636,582.3213440316802,15.404374672361943
030T++-,8651.087076153695,2421.1464879087416,12661.703624585829,221.88460394340484,-18.075235853025227
030T+-+,8382.307199659062,2358.975801107184,12633.848939633706,160.8539791879539,-26.431063511377744
030T+--,623.7292820661786,137.15528644249318,699.7133238513604,72.64139739630512,-1.046015695026356
030T-++,8386.196368011118,2360.590075529823,12426.334286565823,356.13503012388816,-11.344399109375082
030T-+-,1527.995010427904,307.1517805844962,701.6870060895402,57.44449241721896,14.384460016408436
030T--+,876.7497522887363,192.46610863881662,687.2271123219358,38.82968934216397,4.880869334203086
030T---,81.83117991931186,14.613510557908736,42.7748478126482,15.345495709340007,2.545133298163324
030C+++,74940.07666272133,21610.141552503363,72704.68108402731,262.0489261923027,8.530451206862002
030C++-,8448.372319074195,2388.9669076974346,12469.023176401435,147.8635193728981,-27.191635059000124
030C+--,898.07989116832,194.85368553389404,699.7422218587486,58.7303140285111,3.377091925871311
030C---,14.515705858149257,2.7434764695868155,7.921183549589921,4.107028556511093,1.6056675082292002
201++++,61626.080257253496,17365.68891716731,60414.46254640546,534.5646746824168,2.2665502758255616
201+++-,6981.557905014506,1833.5333411148645,7210.963670209045,315.00182122017765,-0.7282680598668357
201++-+,6588.809824554318,1717.622704175988,7166.0279430190785,283.01080516077394,-2.039562122502186
201++--,37.78420714788222,11.818523535288481,58.93575847198362,16.904943942572807,-1.2512050555124343
201+-+-,336.8405000537345,70.5522369803275,189.83335387754886,38.49971519252145,3.818395680099517
201+--+,606.5020808687692,127.64084849396137,383.2486276737795,42.6916364504711,5.229442386309043
201+---,9.527080110566807,1.758334381669054,3.580726133674876,2.3620054565239403,2.517502218493144
201-+-+,258.76771584361614,56.053265618737136,206.122638128662,33.50869509938738,1.5710870733344855
201-+--,0.0,0.0,1.3429368584004338,2.2785448813366744,-0.5893835444718648
201----,0.0,0.0,0.0,1.2000000000000002,0.0
