signed_motif_type,intensity,coherence,intensity_random_mean,intensity_random_std,intensity_z_score
021D++,219203.10049164967,59458.29186275863,221603.98134176532,612.0487073460619,-3.9226957287864184
021D+-,27386.474866424487,6484.644261236923,27378.274292116308,401.284630611398,0.020435804619989176
021D--,1819.8930260639838,329.8488398123203,817.7079810465088,66.19563882301101,15.1397442918716
021U++,219853.90329268255,59616.635769640314,224208.42014919446,785.6327926424588,-5.542687241790897
021U+-,29503.69004568913,6802.3729751977235,27293.850412236305,247.21389589978875,8.9389782293978
021U--,1414.4830754558864,276.13911209911674,809.761140548967,35.55833684398317,17.00647410929863
021C++,443548.31897499855,120218.3170398662,445053.93469682557,1127.431640587494,-1.3354385912412938
021C+-,26287.421735871976,6233.89884147893,27129.93497088771,486.8092438110188,-1.730684545798805
021C-+,30100.62320641175,6968.49710461312,27223.185546152316,191.06337904122952,15.060121278596842
021C--,3048.1404709967874,572.2685850685227,1625.6092386970772,85.35915810336313,16.665244408539483
111D+++,218097.1199059127,59573.99075438342,220545.33633204392,578.4186107204949,-4.232603136821028
111D++-,16811.7857150795,3903.1348737643866,16800.944561644268,463.7124691616799,0.023379042307898102
111D+-+,17821.23089571454,4095.72294167919,16922.566369293123,254.95262332678723,3.5248294945745564
111D+--,243.482646175982,60.18645502285579,266.8248187884255,33.66449099919434,-0.6933766684011976
111D-++,14347.791840660699,3503.639692704145,12865.049681825036,324.30179037305425,4.572105991551941
111D-+-,1523.8587217986892,322.5007158547955,981.4490332975778,49.82605197563835,10.886065963370205
111D--+,1578.7227927453628,316.66931609458635,965.7540096695272,67.62588310860143,9.06411502370268
111D---,58.74921123284972,10.936799118347803,13.619280242286678,7.489142120412388,6.026048146096334
111U+++,217452.799414455,59404.08679344142,218993.64200243875,667.120495851627,-2.309691573808962
111U++-,15712.832755472356,3661.0943140425593,16364.98452616763,429.4447045331278,-1.5185931129463144
111U+-+,17682.06300329822,4061.38334209195,16774.371136162557,359.472523787819,2.5250660539258143
111U+--,239.54200012808593,58.091985979587086,223.2112653477794,24.55316839400477,0.6651172067998384
111U-++,11986.717768806833,3002.404853802207,12986.482020085448,338.8439117474965,-2.950515610927165
111U-+-,1711.089557939861,330.24861932283426,981.6839139469685,60.2164443287694,12.113063999768697
111U--+,1859.88212248451,351.9094112095079,1011.4740221440227,58.70868770949906,14.45115081669957
111U---,29.233637305299833,5.475119893851008,18.484511812937882,7.491942251296832,1.4347581884392275
030T+++,236795.10911056655,64488.073805919674,226119.40449018427,745.9340868712868,14.311860536042788
030T++-,9260.98402093863,2381.683693968583,13464.670775481052,225.71472867791496,-18.623892110031065
030T+-+,9063.47630338479,2336.5505881058607,13298.765728899933,181.7192136165034,-23.30677830497997
030T+--,985.9197327355854,209.02576927869976,766.6539033503419,23.717073827349868,9.245062480363503
030T-++,8763.244659276545,2281.3363249266317,13416.39854938984,326.95890438569137,-14.23161696377684
030T-+-,1502.6706627460096,298.8959440960811,812.5580880057917,50.74233063824804,13.600332622877827
030T--+,1013.0678010464795,209.7300419847493,789.1813833600547,64.32470668954585,3.4805664760662047
030T---,101.59683206898528,19.902021889217703,46.33029315375365,13.619800729438683,4.057808187734722
030C+++,77590.2558568531,21145.519242787326,74972.18675430592,426.56680547413526,6.137535947358006
030C++-,8985.628187148843,2327.6690523829693,13482.814138410491,296.83219059542057,-15.150600553938133
030C+--,1066.1611357931636,221.18138985807977,731.9929167789365,41.32796486053128,8.085765174789959
030C---,22.638772822557396,4.633951369895298,16.93465840965772,9.589487989618176,0.5948299240871977
