signed_motif_type,intensity,coherence,intensity_random_mean,intensity_random_std,intensity_z_score
021D++,217348.9777749662,63335.25129143718,221986.73504803315,397.68233674823455,-11.661964448783259
021D+-,43482.58291698998,10123.430359527985,37057.79077925758,422.1021334693117,15.220942109262063
021D--,2803.6784143944146,537.3614682337121,1551.7804151909702,91.94046622207439,13.616398204677264
021U++,217378.41961294395,63437.259041152975,217086.06286405423,810.9632280229391,0.3605055553535586
021U+-,34714.592818003766,8496.60069021555,35785.05887075495,677.342576166415,-1.5803909135754368
021U--,2956.6956184261644,516.7560935447021,1463.5323080945686,81.78659270219521,18.25682255487235
021C++,434372.1705627048,126651.22852776134,435666.7744621859,1006.7662867127488,-1.2859031103516694
021C+-,43344.080141982304,10132.435274219048,36262.68283324684,403.48481014596155,17.550592068568204
021C-+,35352.044929821066,8674.5601293403,36511.98354446347,502.471229270316,-2.308467723270151
021C--,4804.683896995816,917.11067652891,2979.2368573006324,144.8021251627518,12.6064934312494
111D+++,224102.84629843823,66759.27262393206,225541.7603090304,940.3065258306535,-1.5302605810600303
111D++-,18389.21105529671,4422.504024811666,17678.41247309834,452.4658099487408,1.5709442936227525
111D+-+,18868.15522595598,4535.820619314093,17467.23409988788,317.53074647687765,4.411922755864886
111D+--,141.5399858578214,45.59268898804809,103.93643647073876,15.86179005018613,2.3707002342173467
111D-++,15822.876079500547,4214.74451026704,17853.825488089944,363.25866475949687,-5.590918003109519
111D-+-,2243.2630668319634,431.54122906833777,1386.9070506420699,73.96046525858816,11.57856448300878
111D--+,2217.5901911168867,432.8428134964967,1427.6926388415686,114.15127055305189,6.919743849090253
111D---,6.302363159843631,1.9617786171208857,8.069899560024362,4.098819138263279,-0.43123063998614447
111U+++,224831.09507448028,66894.77928408905,229896.35800574571,703.5101434220292,-7.199985641467614
111U++-,18649.810759620843,4515.593613140407,17835.19396535037,296.01277829570586,2.751964962325721
111U+-+,18957.504565209692,4547.065305625598,17795.24447479362,240.18860593083102,4.838947650792298
111U+--,106.51043619249448,34.707677602001056,96.6269501320237,18.843854236497563,0.5244938713932545
111U-++,20650.464165140704,5276.853960805223,18034.868003619442,383.6090944107128,6.818389343816916
111U-+-,2423.3802803067574,488.5846711712874,1444.7750279555573,74.48608149307947,13.138095503683097
111U--+,2581.008941190229,517.7047017180731,1445.2120843802568,70.66062722806211,16.073970772211073
111U---,2.9896680460581373,0.998427272465054,9.10721805652599,5.772895157817741,-1.0597022539346441
030T+++,248106.3553219437,74399.49778191607,236821.7302976538,658.480033901847,17.13738373724479
030T++-,11878.724160306925,3280.842203775274,18586.37010868772,259.23775138662955,-25.87449517866304
030T+-+,11911.409509560448,3312.661225170589,18569.374483080246,308.101588555922,-21.609641822120448
030T+--,2544.772806146918,506.5314750419206,1480.204468351673,87.31016165278865,12.192948880667236
030T-++,11727.857674583727,3284.964429588623,18541.54902639668,172.265851626253,-39.55334900962204
030T-+-,1629.3632223609156,351.0110664669366,1441.4152654740371,78.01314678820356,2.4091831264944985
030T--+,1666.1162893165463,359.2458626546449,1486.1468569926583,78.820281422448,2.2832883754793687
030T---,182.09583466166802,35.126098984593604,106.89376831270503,19.91535076336247,3.776085455010385
030C+++,81373.22962293489,24415.594590835197,77939.17553655368,391.76134750907016,8.76567866691264
030C++-,11528.146912940234,3231.3843299399023,18319.65684964072,139.14497160735155,-48.80887795115742
030C+--,1500.8561983345319,328.7022270240961,1435.9151369059214,78.94802344355496,0.8225799531895953
030C---,43.226251520829344,9.430618327653665,41.33624459730975,13.962370289045046,0.13536433172829565
