motif_type,intensity,binary_count,intensity_random_mean,intensity_random_std,intensity_z_score
210-++-+,0.0,0,0.0,1.2000000000000002,0.0
210-++--,0.0,0,0.0,1.2000000000000002,0.0
210-+-++,0.0,0,0.0,1.2000000000000002,0.0
210-+-+-,0.0,0,0.0,1.2000000000000002,0.0
210-+--+,0.0,0,0.0,1.2000000000000002,0.0
210-+---,0.0,0,0.0,1.2000000000000002,0.0
210--+++,0.0,0,0.0,1.2000000000000002,0.0
210--++-,0.0,0,0.0,1.2000000000000002,0.0
210--+-+,0.0,0,0.0,1.2000000000000002,0.0
210--+--,0.0,0,0.0,1.2000000000000002,0.0
210---++,0.0,0,0.0,1.2000000000000002,0.0
210---+-,0.0,0,0.0,1.2000000000000002,0.0
210----+,0.0,0,0.0,1.2000000000000002,0.0
210-----,0.0,0,0.0,1.2000000000000002,0.0
300++++++,0.0,0,0.0,1.2000000000000002,0.0
300+++++-,0.0,0,0.0,1.2000000000000002,0.0
300++++--,0.0,0,0.0,1.2000000000000002,0.0
300+++-+-,0.0,0,0.0,1.2000000000000002,0.0
300+++--+,0.0,0,0.0,1.2000000000000002,0.0
300+++---,0.0,0,0.0,1.2000000000000002,0.0
300++-++-,0.0,0,0.0,1.2000000000000002,0.0
300++-+--,0.0,0,0.0,1.2000000000000002,0.0
300++----,0.0,0,0.0,1.2000000000000002,0.0
300+-+-+-,0.0,0,0.0,1.2000000000000002,0.0
300+-+--+,0.0,0,0.0,1.2000000000000002,0.0
300+-+---,0.0,0,0.0,1.2000000000000002,0.0
300+--+--,0.0,0,0.0,1.2000000000000002,0.0
300+----+,0.0,0,0.0,1.2000000000000002,0.0
300+-----,0.0,0,0.0,1.2000000000000002,0.0
300------,0.0,0,0.0,1.2000000000000002,0.0
