signed_motif_type,intensity,coherence,intensity_random_mean,intensity_random_std,intensity_z_score
021D++,208638.16239644558,57666.698560994,209819.09277015814,1054.4079039618662,-1.1199938555802678
021D+-,24272.65856765425,5815.66597239174,25023.71881572587,416.6388344808567,-1.8026650084298166
021D--,1399.1285748811956,257.60144507038916,741.1076571840565,56.331410334680605,11.681243444601396
021U++,207697.18468936248,57383.16133386161,210524.10116287688,631.7395930672908,-4.474812888945029
021U+-,26241.382674983557,6251.71003299754,25085.325654724216,626.8085418966161,1.844354285219708
021U--,1151.5759898635952,224.9905865243784,751.7087084857826,55.03486571214142,7.26570831424045
021C++,421059.9371409478,116184.88331301321,419831.76122171653,689.5357893684416,1.7811634119182835
021C+-,24932.902029561825,5969.378792781997,25146.23429933686,360.57503049348963,-0.5916446002460657
021C-+,26709.053564023237,6338.632542873949,24997.104129575087,368.9361146782013,4.640232729564496
021C--,2396.1631024052417,474.9514538211997,1505.8612539542817,42.31564364402004,21.0395440499645
111D+++,207929.76381753018,57297.5180618168,209894.04761968777,962.4792538498382,-2.040858329465922
111D++-,12862.9686003804,3127.0577358863197,13246.000020576583,252.5323536197776,-1.516761772128769
111D+-+,13616.844059365258,3255.990998010353,12983.240575202328,292.6528499179966,2.165034389176357
111D+--,141.97410334045512,26.712158573353197,161.47625939256588,27.245971276714705,-0.715781274744936
111D-++,12814.39037991677,3134.534463684414,11983.290010481807,301.2444983628529,2.75888978537922
111D-+-,1437.999062432484,298.36499527452713,721.4767854931663,52.17026685729109,13.73430346636572
111D--+,1080.801069656941,228.2786848265598,745.3501471104044,30.861862783218744,10.86943211765362
111D---,10.9672736608962,1.8395465182819932,10.048277334736314,9.903330641592436,0.09279669228655722
111U+++,208578.89277486358,57441.486007337226,209878.24104770302,508.74097797868745,-2.5540468118018946
111U++-,12360.313419619179,3032.809793363126,13069.269897946704,210.20829549480533,-3.3726379668258395
111U+-+,13488.006771344524,3229.805261047015,12847.591947036144,242.43198388949764,2.641626793766148
111U+--,130.15191713312217,24.872765226335947,153.35646819031223,26.748980045657245,-0.8674929293596512
111U-++,11461.899706225473,2860.640158727284,11984.889837182514,290.9769390774133,-1.7973593804899497
111U-+-,1369.3817843256925,271.1081486941416,762.9858370981549,60.180719495130504,10.0762495416261
111U--+,1158.4329299241474,240.63018539869603,774.1322978944273,50.0888871408246,7.672373134369329
111U---,19.491598237582572,3.515102027913255,8.39319999210908,5.002402005688803,2.2186138244891622
030T+++,195116.6514233356,54112.15421697532,188461.12876301937,743.3939902317777,8.9528873622467
030T++-,8004.943063709106,2101.870271476762,10886.036337577701,173.99898345063247,-16.55810405746438
030T+-+,7864.748342651521,2078.135976759428,10839.044563738116,194.81570998683932,-15.267229841410236
030T+--,640.0828691516436,145.84931614174383,595.6021457425142,44.55411444500458,0.9983527663653674
030T-++,7547.920304904318,1985.818035307011,10748.443244212336,201.41329433630875,-15.890326156742972
030T-+-,870.0229797339757,182.87318590782692,639.2049762690185,59.10235795823257,3.9053941575068034
030T--+,587.8192340629553,128.76129598281508,647.4296498371802,48.33634911319219,-1.233241998369211
030T---,61.17386048762731,11.386226920626914,41.153100614197584,21.665358240906112,0.9240908758955465
030C+++,64375.13698965682,17901.204692989933,62518.154122883105,564.4470847274117,3.2899148866549797
030C++-,7660.003486357113,2025.6938769247915,10829.684477966108,264.5566079539064,-11.981106864513652
030C+--,777.4847832598341,166.60019925035806,612.3624326732943,58.89257330657173,2.803789023226704
030C---,20.768375159194864,3.584931672883747,13.534852188327415,4.323950884732246,1.6728966548646111
201++++,55167.50488015407,15080.75200002322,55043.061784284786,179.73805571725657,0.692358083949915
201+++-,6216.497208349751,1567.4974704191923,6681.299197470062,142.31208477738406,-3.2660753290726556
201++-+,6586.762156659905,1610.22905701241,6517.935972601981,259.553788386597,0.26517117891344
201++--,74.89607766994203,15.306902575882049,71.23543973381946,20.007501264986516,0.18296327400607246
201+-+-,353.3888602498352,70.65296411434777,221.4693340019911,39.550255416854824,3.3354911329251493
201+--+,652.631697734619,134.01537278333424,384.0530554501956,41.635144548824705,6.450767619395836
201+---,11.893396428696109,2.6376954564684243,4.707678287144075,4.4627751088192795,1.6101456977636424
